ID,Nome,Tamanho,Valor
52,Koalapop,L,29.4976532740973
53,Old Navy,S,54.73705808387
54,Marchesa,S,40.8762893145328
55,Lilli Ann,M,66.7454107854261
56,Ethika,XXS,48.5947872775583
57,Mohito,XXL,89.3852643386392
58,Avirex,XXS,45.7330033321553
59,Ethika,S,4.47592968003635
60,DKNY,M,57.763501127606
61,Mohito,XXS,75.6015406868428
62,Ex-Boyfriend,M,87.3357299958988
63,Real Gold,XXL,51.2106640097735
64,Rip Curl,XL,73.1242519859803
65,Loyandford,S,35.5353420607445
66,Converse,L,75.3695445346504
67,Ecko Unlimited,XXL,29.5263081097632
68,SABA,L,72.9900470059319
69,Karen Kane,L,39.3554667874032
70,Nudie Jeans,XXL,69.029968379545
71,Tommy Hilfinger,XL,11.8575985477574
72,Forever Lazy,M,53.8400592491217
73,H&M,L,10.7480491077285
74,Marchesa,XXS,75.4535062357101
75,Mohito,S,65.0887758210715
76,Andrew Marc,S,2.35075478691177
77,DKNY,XS,49.2937949194078
78,Koton,S,81.4919572591278
79,Karen Kane,M,53.4306371870593
80,Merc Clothing,L,77.7042741806732
81,Real Gold,XS,86.4147691980073
82,JNCO,L,8.68292277477818
83,Guess,L,2.91422831309691
84,Calvin Klein,XL,98.6415161689005
85,EMEL Fashion,XXXL,69.0652431953071
86,Avirex,M,61.2674228429177
87,Izod,XL,5.58663463712979
88,Forever 21,M,65.4456026206937
89,TNT,L,80.5894622167523
90,Mataano,XL,52.1736634565395
91,Ethika,XXL,16.2822219237137
92,Loyandford,L,26.096533327874
93,SABA,L,86.0373263675893
94,Rip Curl,XXXL,94.0328209796142
95,JNCO,XL,33.2158734431564
96,Columbia Sportswear,XS,18.8063916451327
97,Real Gold,XL,31.2772408967266
98,Merc Clothing,S,16.9621508433307
99,Calvin Klein,XS,61.943886656288
100,Izod,S,88.1755944440028
101,Mohito,L,26.6096985464029
102,Old Navy,XL,25.895118229508
103,Converse,XXL,75.8775772628736
104,Real Gold,M,24.9518828801587
105,Healthtex,S,1.80522027788927
106,TNT,L,30.9272501244802
107,C&A,L,79.666536888418
108,Izod,XXS,93.4877586991004
109,Karen Kane,One Size,86.9883837182952
110,Calvin Klein,XL,34.6552837908525
111,Max Studio,S,28.0115310330929
112,H&M,M,69.9220348181771
113,Nudie Jeans,XXXL,32.7399697577301
114,SABA,XXS,57.358308256305
115,H&M,M,86.5504848680228
116,Mossimo,XL,79.9892945019478
117,JNCO,M,17.1136137787782
118,Koalapop,M,70.0568538345661
119,Tommy Hilfinger,S,48.1923319973016
120,Karen Kane,M,29.4570090679717
121,Koton,XXL,37.4257028766096
122,Baby Gap,One Size,16.6214546731773
123,Forever Lazy,XS,34.9085464896208
124,Baby Gap,XXL,83.7324666249251
125,TNT,M,18.3654149870227
126,Acorn Stores,XL,48.0431788303159
127,Ecko Unlimited,M,73.9844127683828
128,TNT,S,64.352156882804
129,Brooks Brothers,S,33.9323969585506
130,Koton,S,30.6310397729422
131,Guess,XS,53.9266366301694
132,Marchesa,XXL,36.2070472315918
133,Forever 21,XXXL,58.4176960198291
134,Acorn Stores,L,34.63366692729
135,Angels Jeanswear,M,47.4327366782505
136,Old Navy,One Size,2.20193718709142
137,Cross Colours,L,85.2805694622363
138,Ethika,L,52.2332782681255
139,Converse,XS,24.5688961858716
140,Brooks Brothers,XL,14.1475545294339
141,Ex-Boyfriend,XS,47.8449380927928
142,Merc Clothing,M,24.120705414154
143,Bujo,XXXL,53.8774290093581
144,Marchesa,XXL,17.9519691662639
145,Dollie & Me,M,7.91291131587369
146,Columbia Sportswear,XXS,74.6038458592276
147,Calvin Klein,S,42.5725189836568
148,Hamilton Shirts,XXXL,58.8441520989147
149,Rip Curl,M,53.9365515438544
150,Baby Gap,One Size,40.6287379556469
151,Avirex,XXXL,21.7581722488432
152,Loyandford,XL,33.1286824108701
153,Levis,M,5.71923810509929
154,Mataano,M,21.8206011745243
155,Merc Clothing,XXL,60.4471201144378
156,Mossimo,XL,44.297999973082
157,Acorn Stores,XXXL,68.5788692923164
158,SABA,M,26.3491681308249
159,Columbia Sportswear,S,16.1936927629605
160,Cross Colours,L,23.5870329665891
161,Andrew Marc,M,19.3851157405344
162,C&A,XXL,35.9674873160978
163,Acorn Stores,XXXL,15.8254023854739
164,Cherokee Inc.,L,81.0937543814507
165,Max Studio,L,63.68736352431
166,Nice Collective,XXXL,79.1534277974411
167,Andrew Marc,XXXL,78.0552681889642
168,Bujo,XXS,94.7944584017594
169,H&M,XXS,42.5121523204782
170,Old Navy,XXS,56.25235618197
171,SABA,XXXL,46.6189806757583
172,Bujo,S,78.9668269911626
173,TNT,XXS,88.9616797459133
174,Mohito,XS,62.2694029799986
175,Mataano,XXS,35.0348224933421
176,Bujo,M,89.1021648706413
177,Six Deuce,S,19.538339225826
178,Dollie & Me,M,62.2439871478099
179,Mohito,S,35.2448139038146
180,Nudie Jeans,One Size,8.6044972336872
181,Marchesa,XXL,44.0065233460658
182,Guess,L,44.0996042811776
183,Levis,One Size,2.43238499920461
184,Karen Kane,XS,18.0375869851734
185,Mossimo,S,84.7155781522
186,Lilli Ann,M,43.307307037668
187,Koalapop,XL,61.9598324950597
188,Rip Curl,S,97.3203265533411
189,Ecko Unlimited,XXXL,13.2432483747803
190,Lee,L,96.7756914988978
191,Marchesa,XXS,14.3733933970208
192,Nudie Jeans,One Size,53.8090464257677
193,Koton,M,42.9284380771818
194,SABA,S,36.661869147635
195,Levis,One Size,56.4756420326771
196,Loyandford,XS,90.0189467179677
197,Countess Mara,XXXL,47.9638345339167
198,Angels Jeanswear,L,18.9267720556477
199,Levis,XXS,79.1622046624134
200,Acorn Stores,XXS,2.24923599103896
201,Acorn Stores,XXL,74.8742975433703
202,Ecko Unlimited,XXS,98.595505696533
203,Levis,XS,84.7255410979155
204,SABA,XS,40.4260267449664
205,Countess Mara,One Size,20.6018011046582
206,Karen Kane,XL,40.268417279361
207,Guess,XS,54.2424629597191
208,Cherokee Inc.,One Size,55.3293139544918
209,Acorn Stores,M,36.5571525490643
210,C&A,XXS,7.12421947816583
211,Baby Gap,XXL,57.9441090691574
212,Izod,XS,59.8775067272957
213,Hamilton Shirts,S,97.9888907596417
214,Cross Colours,S,53.540916005867
215,Angels Jeanswear,XS,73.4547981165605
216,Forever 21,XXXL,4.19193184943494
217,Marchesa,XS,60.007480914708
218,DKNY,XXL,68.1379933623308
219,Brooks Brothers,XXS,89.8396476254983
220,Converse,XS,18.6807907417793
221,Ex-Boyfriend,XXXL,56.1833361835141
222,Koton,XL,46.7093156942675
223,Merc Clothing,XXL,15.2487146054621
224,Nudie Jeans,XL,61.940080527654
225,Lee,S,4.56459719481161
226,Lee,XL,73.8214733525279
227,Baby Gap,XXL,92.7932542822292
228,Forever 21,XXXL,54.9518430335223
229,Max Studio,XXS,55.8350220931857
230,Rip Curl,XXL,97.3461807041178
231,Brooks Brothers,L,22.3175942177501
232,Karen Kane,S,83.4453765314284
233,Ethika,L,98.6103080485995
234,Koalapop,XL,82.3034515196008
235,Columbia Sportswear,XXXL,49.3573677653248
236,Healthtex,XXXL,21.0933689363736
237,Real Gold,One Size,93.2384544933394
238,Brooks Brothers,XXL,74.9910078351344
239,Angels Jeanswear,XXXL,50.9522528773883
240,Loyandford,S,12.2404831038976
241,Tommy Hilfinger,XS,34.537800714624
242,Baby Gap,L,52.6860438127471
243,Calvin Klein,M,89.4362688704563
244,Mohito,XL,71.3882816431058
245,Baby Gap,One Size,5.50665830052768
246,Mataano,XL,39.6690529434332
247,Koton,XXS,21.7360807977319
248,Acorn Stores,XXL,92.5126835976321
249,Healthtex,M,35.1422610553644
250,SABA,XXXL,40.3406622569732
251,Hamilton Shirts,M,2.79917637621946
252,Ex-Boyfriend,M,63.7728493044958
253,Nice Collective,One Size,26.2439386440646
254,Loyandford,XL,73.4063494579896
255,Izod,XXXL,32.6893249758004
256,C&A,XXL,57.3463246367622
257,SABA,S,80.0944125648096
258,Real Gold,XL,6.02379922243943
259,C&A,XXXL,83.2386587538005
260,Forever Lazy,XL,78.892543382427
261,Loyandford,S,75.993337504097
262,TNT,XXXL,14.0180431171404
263,Forever 21,L,5.65938061925554
264,Mohito,XXXL,61.8757613063211
265,Baby Gap,XL,47.4919040829371
266,Forever 21,XS,49.3985318319865
267,Brooks Brothers,M,51.6781463216423
268,Six Deuce,XS,80.5022858667664
269,Ex-Boyfriend,S,32.2880146551356
270,Andrew Marc,XL,72.6355003899129
271,Lilli Ann,XXL,57.3367052107755
272,Dollie & Me,S,67.0216472856801
273,Izod,L,55.9245717851094
274,Acorn Stores,M,38.8239583106823
275,Ecko Unlimited,S,92.3815769624811
276,Countess Mara,XS,24.0126774627774
277,Guess,XS,77.9069307301691
278,Levis,M,84.1029327195617
279,Columbia Sportswear,XXL,24.7244329795821
280,Nice Collective,One Size,86.6611789174663
281,EMEL Fashion,XS,59.8102819653276
282,Ecko Unlimited,L,38.5881670767386
283,Brooks Brothers,XS,34.6623224512033
284,H&M,S,46.7999180889688
285,EMEL Fashion,XL,21.9825318399735
286,Healthtex,XXXL,63.7581251956327
287,Acorn Stores,XS,97.2757331623117
288,Brooks Brothers,XL,85.7859717941778
289,Mataano,M,82.6816665389024
290,Cross Colours,S,7.23478886682298
291,DKNY,One Size,84.889573089727
292,Converse,One Size,45.5925106488133
293,Loyandford,S,18.4000537476503
294,Ecko Unlimited,L,4.77837406554184
295,Lee,XXL,69.4983760237221
296,Marchesa,XXS,52.3984500269398
297,Healthtex,XL,17.3756710120363
298,Forever 21,XXL,92.1088990262285
299,Forever 21,L,81.4351892366238
300,Columbia Sportswear,XXXL,77.9297261456632
301,Converse,S,88.62312646798
302,Old Navy,XS,83.6047312829666
303,Calvin Klein,XXS,81.0283340471929
304,C&A,XL,33.0490835230095
305,H&M,XS,25.4238420140109
306,Tommy Hilfinger,XXS,8.59886060869268
307,Mataano,XXS,88.9710344099305
308,Bujo,XL,84.1125373701158
309,Brooks Brothers,XXXL,50.5115066526977
310,Koton,L,91.1809217655942
311,Karen Kane,XL,14.4698341877525
312,Ecko Unlimited,L,37.9375220415823
313,H&M,XXXL,77.4685433760605
314,Mataano,S,90.9170909821601
315,Max Studio,M,13.4023275512281
316,Cherokee Inc.,XXL,53.6308332307408
317,Rip Curl,XXXL,95.9740450959532
318,Bujo,XXL,82.7530471592923
319,Dollie & Me,XXS,70.4534022274676
320,Columbia Sportswear,XL,63.5907746258149
321,Karen Kane,L,32.2908383557996
322,JNCO,S,61.7073577729554
323,Lee,XL,19.9154078960025
324,Merc Clothing,XS,61.8514074314625
325,Andrew Marc,XS,28.2443358848078
326,Columbia Sportswear,S,86.8280524000656
327,Columbia Sportswear,XXS,92.4251447103103
328,H&M,XS,96.7158234998192
329,H&M,XS,69.6004113795238
330,EMEL Fashion,M,79.8067174254948
331,Izod,M,12.4776843201731
332,Healthtex,L,96.0088866986376
333,Ethika,XXL,43.4267258962741
334,SABA,S,64.3072009209111
335,Izod,XS,35.8033898215757
336,Ethika,One Size,6.3934505546435
337,TNT,XS,26.2488764092554
338,JNCO,XXS,31.7759905079268
339,Karen Kane,XS,15.6774554320972
340,Real Gold,S,20.0181529312479
341,Brooks Brothers,L,96.7945375925836
342,Andrew Marc,XS,39.2564251270408
343,Ex-Boyfriend,S,51.0464323018894
344,Ex-Boyfriend,XXS,36.9008847134658
345,Koton,XXXL,86.1505750679181
346,Hamilton Shirts,XXXL,19.4291867448153
347,EMEL Fashion,XL,71.8580653727325
348,Lilli Ann,L,4.68824323950719
349,Nudie Jeans,S,74.519646407347
350,Koton,M,36.052630656889
351,Izod,XXS,36.4294965678963
352,Forever 21,M,87.7060705729323
353,Acorn Stores,M,47.5462175242352
354,Dollie & Me,XXS,36.3299787921505
355,Avirex,XS,25.3772598958468
356,JNCO,XS,1.90758105595949
357,Mohito,XXL,74.5622758262615
358,Lilli Ann,XXL,68.9365707090761
359,Loyandford,XXL,7.65596630827336
360,Mohito,XXXL,91.283024491874
361,Six Deuce,XXS,74.9981417860827
362,Mataano,XS,17.244151445685
363,Nice Collective,S,77.6699206389812
364,Tommy Hilfinger,L,22.5576259733912
365,Converse,XS,7.67807840634048
366,Forever 21,M,45.2733706018298
367,Cherokee Inc.,XS,18.7053201783939
368,Converse,XXXL,96.9847887963917
369,Healthtex,L,60.8189387213527
370,Merc Clothing,XXS,41.8725083614106
371,Hamilton Shirts,XS,58.8283551194837
372,Bujo,XXS,91.3787721611461
373,Forever Lazy,XS,65.8952482020926
374,Baby Gap,M,76.4558389170355
375,EMEL Fashion,XS,43.9595567229947
376,Max Studio,XS,26.2737341203139
377,Ethika,XXL,5.04882408447975
378,Levis,S,76.985106246539
379,Brooks Brothers,One Size,2.00340604735697
380,C&A,XL,21.5514515640919
381,TNT,XXL,11.4829387024431
382,Brooks Brothers,XXS,30.3763113042229
383,Rip Curl,One Size,26.3106568052017
384,Cherokee Inc.,XS,56.2054481213938
385,Lilli Ann,M,38.2682128209938
386,Nice Collective,XXL,98.1989685623902
387,C&A,XXXL,83.4896996256382
388,Calvin Klein,XXXL,72.9291750513619
389,Real Gold,XXL,34.5026152504155
390,Mohito,XXXL,23.3663900011994
391,Mataano,XXXL,84.2338129790657
392,Guess,XS,40.6010949223307
393,Healthtex,XXL,74.4183891352352
394,Lilli Ann,L,58.7457962728784
395,Mossimo,L,74.3663584051497
396,Calvin Klein,XXL,15.4251002741163
397,Koalapop,M,5.69684047191257
398,Acorn Stores,XXS,84.4780779506443
399,Izod,XXS,76.2957463596462
400,Tommy Hilfinger,XXXL,6.26801418292709
401,Real Gold,M,85.422449183847
402,Tommy Hilfinger,M,67.3162198110093
403,Nudie Jeans,XL,69.4459609293593
404,Andrew Marc,XXL,13.6873821116459
405,Dollie & Me,S,80.8068707547183
406,Angels Jeanswear,XXXL,49.5659214619388
407,Ecko Unlimited,M,34.2301818953036
408,Countess Mara,M,72.0429159207469
409,Lee,XS,10.9916191054469
410,Ecko Unlimited,XXXL,41.1169483778611
411,H&M,XXXL,40.5121226252579
412,Loyandford,S,45.2149499087664
413,Ex-Boyfriend,XXS,76.5880688720327
414,Ecko Unlimited,M,84.5577707018507
415,Avirex,M,46.7426175012917
416,Nice Collective,XS,15.0075169447844
417,Cross Colours,XL,59.537768196565
418,Six Deuce,One Size,73.8041256683898
419,Andrew Marc,XXXL,16.6792255536091
420,Max Studio,L,20.5492392170938
421,Mossimo,One Size,34.0855839155082
422,Forever 21,One Size,9.59401238690783
423,Healthtex,XS,24.6552179673012
424,Lilli Ann,XL,15.1962123053131
425,Forever Lazy,S,64.7140662221769
426,Mossimo,L,44.7449384032492
427,Mohito,L,56.2590278653703
428,Izod,One Size,25.7693174904069
429,Izod,L,91.845823788478
430,Acorn Stores,XXS,48.72740910143
431,Cherokee Inc.,XXS,90.2270014315038
432,Ex-Boyfriend,XXS,54.3555800399536
433,EMEL Fashion,L,9.9170318888114
434,SABA,XS,73.8986164549825
435,Hamilton Shirts,XL,73.5542682784397
436,Cherokee Inc.,XXL,49.4531132669435
437,Nudie Jeans,XS,55.3390320736631
438,Avirex,M,9.52956328053473
439,Marchesa,L,15.802758423054
440,Tommy Hilfinger,One Size,83.2631988470737
441,Angels Jeanswear,One Size,70.1337282588397
442,Izod,M,43.6112303014897
443,Countess Mara,XXS,17.5067051711989
444,SABA,L,16.7320589203071
445,Forever 21,XS,92.4264259349678
446,Dollie & Me,One Size,61.2427171358106
447,Cross Colours,XL,2.41935375212662
448,SABA,L,88.4548216613265
449,Avirex,XS,14.3620633633631
450,Acorn Stores,S,37.9618224305854
451,Andrew Marc,L,17.7140949823494
452,Guess,XL,21.9711835812643
453,Six Deuce,S,30.5540061446624
454,Nudie Jeans,S,73.2080686163195
455,Forever Lazy,XS,26.5246546140521
456,Max Studio,XXS,28.2369967746721
457,Guess,XXXL,74.8450638758228
458,Merc Clothing,XXL,61.1411555940943
459,Izod,L,38.5749046232434
460,Brooks Brothers,L,11.2904934726146
461,Mohito,XXS,65.9147465484751
462,H&M,S,17.3339626618353
463,C&A,L,76.6464149424091
464,Acorn Stores,XXL,64.0256475466423
465,Hamilton Shirts,L,57.4162951150985
466,JNCO,S,18.9710329063102
467,Mossimo,One Size,46.3135571551107
468,Andrew Marc,One Size,16.6953222219345
469,Loyandford,L,17.277742030694
470,Mohito,S,59.803050703743
471,EMEL Fashion,S,11.8675489900017
472,Andrew Marc,L,4.24506107636032
473,SABA,S,89.1192325000275
474,SABA,XXXL,46.9879013360422
475,Cross Colours,XXXL,11.4867884542266
476,Cross Colours,XXL,30.5713674722106
477,Six Deuce,XXS,29.1333811255793
478,Hamilton Shirts,S,66.3077309379856
479,SABA,XXXL,86.4108910092203
480,Lilli Ann,M,93.835943289956
481,Acorn Stores,One Size,97.6711760045361
482,Real Gold,XXS,37.6659278909983
483,Forever 21,One Size,41.6719049311578
484,Lilli Ann,XXS,92.6918290228079
485,Acorn Stores,XS,10.9557051094974
486,Baby Gap,L,57.9640121892858
487,Baby Gap,XL,78.5512953733799
488,JNCO,XXS,72.5593269274381
489,Avirex,M,37.6480594150014
490,Cross Colours,XL,31.7234620385447
491,Baby Gap,XL,62.4852336069966
492,Ecko Unlimited,L,6.22346628933375
493,JNCO,One Size,29.7171380984211
494,Koton,L,16.214404825221
495,H&M,XXS,96.6642956815959
496,Lilli Ann,XXL,83.4595737249868
497,Ethika,XXL,92.9777157450922
498,C&A,M,81.4875589862874
499,Calvin Klein,S,26.0619598175688
500,Nudie Jeans,XXS,1.69661270440398
501,EMEL Fashion,XL,70.6476375659218
502,Avirex,XXS,35.7513101239462
503,Guess,One Size,1.85087538876146
504,H&M,XL,46.8803145186418
505,Six Deuce,One Size,4.10195917268375
506,Bujo,XXS,48.5529499210198
507,Mohito,XXL,49.8286791983194
508,C&A,XXS,92.5563277171721
509,Tommy Hilfinger,M,13.6912827406504
510,Acorn Stores,One Size,69.4359579945151
511,Mataano,One Size,84.5852714826284
512,Nudie Jeans,L,82.5804544121867
513,Marchesa,S,28.1158875325303
514,Brooks Brothers,L,62.4634690715296
515,Izod,One Size,29.9508714037719
516,Dollie & Me,XS,2.02896513279014
517,Koton,XS,83.3705791213413
518,Dollie & Me,XXXL,76.5861494874517
519,Old Navy,XL,60.8849429604062
520,Calvin Klein,L,27.3867176121039
521,Nice Collective,L,91.3575461322244
522,Mossimo,XXL,50.1020998158968
523,H&M,XL,60.9479811554532
524,Marchesa,XXXL,90.9743306790359
525,Countess Mara,XXL,36.8382348710849
526,Guess,XS,6.13280002778992
527,TNT,XXXL,65.458904538983
528,Max Studio,XXXL,24.1815054827284
529,Ex-Boyfriend,L,97.6159620851353
530,TNT,XL,22.4013704934164
531,Ecko Unlimited,XXXL,71.8634071437937
532,Countess Mara,XXL,68.7092700468885
533,Baby Gap,XL,71.3928384056282
534,Dollie & Me,S,26.5052006023495
535,Lee,XXL,74.1127654286627
536,Countess Mara,XXS,79.9033009837863
537,Angels Jeanswear,S,6.99793746275731
538,Six Deuce,M,37.50144218118
539,TNT,L,88.3905679268719
540,Avirex,One Size,95.7774594248168
541,Tommy Hilfinger,L,76.6761576583032
542,Andrew Marc,XXL,64.4596377142983
543,H&M,XS,75.8189274490899
544,Marchesa,XXS,24.9045996297638
545,Ecko Unlimited,XXL,44.7360705587715
546,Six Deuce,XXXL,92.3928713870202
547,Lilli Ann,One Size,77.5692338131225
548,Dollie & Me,XXL,75.6586656657321
549,Mossimo,L,10.218523385105
550,Real Gold,One Size,87.5671310739439
551,Merc Clothing,XL,35.295910193257
552,Dollie & Me,XS,59.5012365838053
553,C&A,L,45.9269015080886
554,Avirex,M,1.32651918117261
555,Tommy Hilfinger,S,41.8021790929149
556,Bujo,XXS,91.7798031553532
557,Karen Kane,XXS,98.9280632892289
558,Tommy Hilfinger,XXS,63.820460762745
559,Columbia Sportswear,XXL,94.1694304543405
560,SABA,XL,85.70969132693
561,Healthtex,M,83.5503051572248
562,Angels Jeanswear,XXL,90.5881147219744
563,Nice Collective,XXXL,21.8904902501453
564,Karen Kane,XXS,50.7023579425655
565,Hamilton Shirts,XL,57.4260338416444
566,EMEL Fashion,XXXL,49.7075662322843
567,Mohito,XL,97.8682495792714
568,Real Gold,XXL,98.3654271291408
569,Forever 21,XXXL,18.7818231879649
570,Calvin Klein,S,36.8805710267651
571,Rip Curl,S,95.2330043177274
572,Mossimo,XXXL,12.860291190846
573,Loyandford,M,49.763438020257
574,Bujo,S,16.9578413893272
575,Merc Clothing,One Size,20.7892097718032
576,Lee,XXS,31.1269316273401
577,Merc Clothing,XXL,37.997924387454
578,Marchesa,XXXL,46.3054409829459
579,Koton,XXXL,23.1387797678536
580,Karen Kane,M,89.6079454653002
581,Forever 21,One Size,49.0239998647124
582,Mohito,M,30.0808210084591
583,EMEL Fashion,One Size,98.1011793097021
584,Countess Mara,XL,4.15066750680593
585,Izod,XXL,45.9622210180211
586,Loyandford,One Size,95.6572926401427
587,Merc Clothing,One Size,55.359869819302
588,Koton,XXS,25.5273815246892
589,Calvin Klein,XL,28.7159978587721
590,EMEL Fashion,M,77.5537615891331
591,EMEL Fashion,M,45.6822041015524
592,C&A,S,13.6366836222059
593,Hamilton Shirts,XXS,4.87362182460428
594,Mossimo,L,24.3948823238699
595,Countess Mara,XXL,24.1603144161218
596,Hamilton Shirts,L,86.5268371643158
597,Nice Collective,XS,85.5838177658542
598,Nudie Jeans,M,59.8121103480515
599,Brooks Brothers,L,42.0782468044563
600,Hamilton Shirts,M,92.4214311756293
601,Brooks Brothers,L,69.1218214547829
602,Converse,S,71.2979837908866
603,Mohito,XXL,54.718429440967
604,Brooks Brothers,XL,87.5959834803808
605,Angels Jeanswear,L,70.2615970537353
606,Mataano,XS,34.3453306128948
607,Mataano,M,81.9133044709048
608,Forever 21,One Size,72.892303558482
609,Marchesa,XXL,11.7569245727532
610,Lilli Ann,XXXL,54.5911255574744
611,Avirex,XL,23.4148043284262
612,Six Deuce,XXL,75.4355246291661
613,Tommy Hilfinger,XXL,65.7436577737069
614,Cherokee Inc.,XXXL,91.507356588965
615,Cherokee Inc.,S,63.7547930869063
616,EMEL Fashion,XXL,77.1941958964775
617,DKNY,XL,80.2337983046816
618,Forever 21,One Size,34.6601816190687
619,Loyandford,One Size,51.9313872675092
620,Max Studio,L,57.602930056212
621,Old Navy,S,88.6907793016596
622,Mataano,L,33.2348916014819
623,Ex-Boyfriend,XL,18.9006112189501
624,Acorn Stores,XXL,4.94514444188454
625,Merc Clothing,XXS,26.1189826070885
626,Bujo,XS,91.8951234844956
627,Old Navy,XXS,36.4401040749811
628,DKNY,L,19.6514298644156
629,Six Deuce,XXS,29.1740889331205
630,Marchesa,XXS,69.1701588594216
631,SABA,XL,34.9165693749285
632,Ecko Unlimited,XS,54.5880515559521
633,Izod,XL,15.2803149080278
634,Hamilton Shirts,XS,53.9365038093815
635,Old Navy,XXS,21.4935000308293
636,TNT,L,8.90306590632678
637,Angels Jeanswear,XS,13.0809658607845
638,Forever 21,XXL,4.69481926909407
639,SABA,XXS,78.4851358921664
640,Rip Curl,XXS,94.0341789215031
641,Ethika,XXXL,35.5878888380657
642,Lee,L,97.324209023418
643,Mataano,S,70.9074860373081
644,Cross Colours,One Size,55.4358662173319
645,Forever 21,S,50.4141186985253
646,SABA,XS,9.23035510872973
647,Dollie & Me,XS,93.5741262536375
648,H&M,XXS,74.4573054688318
649,Brooks Brothers,One Size,4.84156125404013
650,Dollie & Me,XS,6.49732197983997
651,EMEL Fashion,XXL,58.1468741307719
652,DKNY,One Size,80.1338526225341
653,Dollie & Me,S,97.7516616744695
654,Mataano,XS,70.9965219935386
655,Baby Gap,One Size,6.39474134212115
656,Nice Collective,S,66.4454814127858
657,TNT,M,85.7026132083044
658,Countess Mara,XXXL,88.0094962692864
659,Loyandford,XXS,86.5229740443281
660,Cross Colours,L,9.40086787631776
661,Healthtex,XXL,4.30102854422342
662,Bujo,L,95.5096180655573
663,Old Navy,XXS,15.4185085428965
664,Koalapop,XL,52.1292987629442
665,Guess,One Size,54.8928113877274
666,Real Gold,One Size,95.8292398428681
667,Old Navy,L,37.4835761811042
668,Hamilton Shirts,One Size,12.7486960020609
669,Andrew Marc,XL,75.1603021710926
670,Loyandford,S,37.6090352919926
671,Nudie Jeans,S,24.1322738994529
672,EMEL Fashion,XS,57.7161980945227
673,Mataano,XXXL,39.742145109336
674,Levis,One Size,13.5231576862387
675,Lee,One Size,83.0934901880536
676,Healthtex,XS,83.2758026808853
677,Columbia Sportswear,S,38.7775859645463
678,Marchesa,S,74.769965996393
679,Six Deuce,L,59.9203177252413
680,Cross Colours,XXL,27.9821797148242
681,Levis,XL,1.92311996264528
682,Mossimo,S,35.8470009466852
683,Dollie & Me,M,31.1718432815614
684,Dollie & Me,M,97.8146974401617
685,Forever 21,L,21.1544317166109
686,Izod,XXL,80.1140331752198
687,Converse,XL,97.4669639423801
688,Forever Lazy,One Size,64.0129302232586
689,Columbia Sportswear,XXL,69.9675119584275
690,Old Navy,L,47.546220862561
691,Brooks Brothers,XS,25.6678027020152
692,Brooks Brothers,XL,25.476524316462
693,Ecko Unlimited,XXL,41.9129977533189
694,Healthtex,One Size,87.6014548677958
695,Lee,XXL,92.1811861927533
696,Levis,XXL,26.3154347177201
697,Forever Lazy,M,24.6659457332762
698,Forever Lazy,XXS,34.5859549374254
699,Mataano,XL,10.563022551389
700,EMEL Fashion,One Size,7.41137036700331
701,Loyandford,XS,51.8049282570393
702,Merc Clothing,XXXL,39.8173343133262
703,Nice Collective,XXS,13.590764923762
704,Converse,M,16.1716698385643
705,Real Gold,L,8.74969984253389
706,Mohito,XL,87.9295587851338
707,Ethika,XXL,42.9550536405086
708,Tommy Hilfinger,M,6.69931701417049
